word	n	freq
maa	85	5.284426484302145e-4
maali	26	1.616412806963009e-4
linna	25	1.5542430836182778e-4
maast	25	1.5542430836182778e-4
maas	23	1.4299036369288157e-4
maad	20	1.2433944668946222e-4
metsa	16	9.947155735156979e-5
metsas	16	9.947155735156979e-5
linnupesa	14	8.703761268262356e-5
linnas	13	8.082064034815046e-5
mets	12	7.460366801367734e-5
maailma	8	4.9735778675784894e-5
linnu	7	4.351880634131178e-5
linnud	6	3.730183400683867e-5
linnupoegi	6	3.730183400683867e-5
maal	6	3.730183400683867e-5
maapind	5	3.1084861672365556e-5
maailm	4	2.4867889337892447e-5
maailmas	4	2.4867889337892447e-5
maasik	4	2.4867889337892447e-5
linnuke	3	1.8650917003419334e-5
linnupesade	3	1.8650917003419334e-5
linnupesi	3	1.8650917003419334e-5
maailmavaade	3	1.8650917003419334e-5
maale	3	1.8650917003419334e-5
maalile	3	1.8650917003419334e-5
maamesilase	3	1.8650917003419334e-5
metsad	3	1.8650917003419334e-5
metsast	3	1.8650917003419334e-5
linnaseid	2	1.2433944668946223e-5
linnupoegade	2	1.2433944668946223e-5
linnupojad	2	1.2433944668946223e-5
maakonnalinna	2	1.2433944668946223e-5
maanteel	2	1.2433944668946223e-5
maapealse	2	1.2433944668946223e-5
maapõhjast	2	1.2433944668946223e-5
metsasalke	2	1.2433944668946223e-5
linn	1	6.216972334473112e-6
linnakooli	1	6.216972334473112e-6
linnaminekut	1	6.216972334473112e-6
linnapreili	1	6.216972334473112e-6
linnased	1	6.216972334473112e-6
linnasejahu	1	6.216972334473112e-6
linnast	1	6.216972334473112e-6
linnaste	1	6.216972334473112e-6
linnastega	1	6.216972334473112e-6
linnastes	1	6.216972334473112e-6
linnukese	1	6.216972334473112e-6
linnukesel	1	6.216972334473112e-6
linnukest	1	6.216972334473112e-6
linnul	1	6.216972334473112e-6
linnunokast	1	6.216972334473112e-6
linnupesadesse	1	6.216972334473112e-6
linnupessa	1	6.216972334473112e-6
linnuprii	1	6.216972334473112e-6
maade	1	6.216972334473112e-6
maadelnud	1	6.216972334473112e-6
maailmale	1	6.216972334473112e-6
maakeelne	1	6.216972334473112e-6
maakoht	1	6.216972334473112e-6
maakond	1	6.216972334473112e-6
maakonnalinnas	1	6.216972334473112e-6
maaksku	1	6.216972334473112e-6
maakuivatamises	1	6.216972334473112e-6
maalapike	1	6.216972334473112e-6
maalapp	1	6.216972334473112e-6
maaligi	1	6.216972334473112e-6
maalil	1	6.216972334473112e-6
maalisa	1	6.216972334473112e-6
maamulda	1	6.216972334473112e-6
maamõõtjale	1	6.216972334473112e-6
maanteed	1	6.216972334473112e-6
maanteeääres	1	6.216972334473112e-6
maaodrad	1	6.216972334473112e-6
maapeal	1	6.216972334473112e-6
maapealne	1	6.216972334473112e-6
maapinda	1	6.216972334473112e-6
maapinnale	1	6.216972334473112e-6
maapõuest	1	6.216972334473112e-6
maariba	1	6.216972334473112e-6
maasiku	1	6.216972334473112e-6
maasikut	1	6.216972334473112e-6
maasse	1	6.216972334473112e-6
maastki	1	6.216972334473112e-6
maatöö	1	6.216972334473112e-6
maatükina	1	6.216972334473112e-6
maatükist	1	6.216972334473112e-6
maatükk	1	6.216972334473112e-6
metsagi	1	6.216972334473112e-6
metsaheinamaa	1	6.216972334473112e-6
metsakandi	1	6.216972334473112e-6
metsakandiks	1	6.216972334473112e-6
metsakandist	1	6.216972334473112e-6
metsakasvu	1	6.216972334473112e-6
metsakasvule	1	6.216972334473112e-6
metsalisena	1	6.216972334473112e-6
metsamütsakas	1	6.216972334473112e-6
metsateele	1	6.216972334473112e-6
metsatuka	1	6.216972334473112e-6
metsatukal	1	6.216972334473112e-6
metsatukk	1	6.216972334473112e-6
metsatukkade	1	6.216972334473112e-6
metsavaht	1	6.216972334473112e-6
metsi	1	6.216972334473112e-6
metsisekukke	1	6.216972334473112e-6
metslind	1	6.216972334473112e-6
metsloom	1	6.216972334473112e-6
metsloomal	1	6.216972334473112e-6
